iter	Passed	Remaining
0	9	9543
1	21	10961
2	34	11468
3	47	11842
4	58	11638
5	70	11650
6	83	11881
7	95	11821
8	107	11798
9	117	11606
10	130	11701
11	142	11724
12	155	11790
13	167	11800
14	180	11822
15	192	11827
16	206	11940
17	219	11957
18	231	11971
19	244	11970
20	257	11982
21	269	11968
22	281	11957
23	295	12003
24	308	12034
25	320	12015
26	333	12013
27	345	12000
28	358	11996
29	370	11987
30	383	11987
31	396	11982
32	407	11943
33	420	11955
34	434	11972
35	447	11975
36	459	11964
37	472	11957
38	485	11957
39	497	11947
40	511	11962
41	524	11955
42	537	11963
43	550	11960
44	562	11935
45	575	11934
46	588	11938
47	601	11927
48	614	11917
49	626	11898
50	638	11886
51	651	11880
52	664	11871
53	675	11828
54	687	11819
55	700	11811
56	711	11770
57	725	11783
58	738	11774
59	751	11772
60	762	11730
61	772	11685
62	781	11628
63	794	11614
64	806	11607
65	819	11603
66	830	11569
67	845	11583
68	856	11553
69	866	11517
70	878	11496
71	889	11465
72	898	11411
73	910	11392
74	924	11403
75	937	11393
76	947	11358
77	958	11324
78	968	11294
79	978	11253
80	989	11222
81	999	11190
82	1012	11186
83	1025	11178
84	1037	11165
85	1047	11136
86	1058	11106
87	1069	11080
88	1082	11076
89	1095	11073
90	1106	11050
91	1117	11033
92	1127	10996
93	1140	10988
94	1151	10973
95	1163	10954
96	1173	10924
97	1184	10901
98	1194	10873
99	1205	10847
100	1215	10820
101	1225	10791
102	1236	10764
103	1246	10737
104	1258	10727
105	1268	10701
106	1279	10674
107	1288	10645
108	1299	10619
109	1310	10602
110	1319	10569
111	1329	10540
112	1340	10518
113	1349	10492
114	1359	10464
115	1369	10439
116	1379	10413
117	1389	10387
118	1399	10363
119	1410	10340
120	1420	10316
121	1429	10290
122	1439	10267
123	1449	10243
124	1460	10223
125	1470	10200
126	1480	10177
127	1490	10155
128	1502	10141
129	1512	10119
130	1521	10093
131	1532	10075
132	1542	10054
133	1553	10041
134	1565	10030
135	1577	10019
136	1588	10003
137	1599	9990
138	1609	9971
139	1620	9952
140	1630	9934
141	1641	9917
142	1652	9901
143	1662	9884
144	1673	9867
145	1684	9855
146	1695	9835
147	1704	9812
148	1741	9947
149	1751	9927
150	1762	9908
151	1771	9885
152	1782	9866
153	1793	9852
154	1804	9835
155	1814	9816
156	1824	9795
157	1834	9776
158	1844	9755
159	1854	9738
160	1865	9720
161	1875	9703
162	1885	9684
163	1897	9672
164	1909	9664
165	1920	9649
166	1930	9629
167	1940	9611
168	1953	9606
169	1965	9596
170	1978	9593
171	1989	9577
172	1999	9559
173	2010	9543
174	2020	9526
175	2033	9520
176	2045	9511
177	2056	9497
178	2067	9480
179	2076	9461
180	2086	9443
181	2096	9424
182	2106	9405
183	2117	9390
184	2127	9373
185	2138	9358
186	2149	9346
187	2162	9340
188	2175	9333
189	2186	9319
190	2196	9303
191	2207	9288
192	2217	9272
193	2228	9259
194	2239	9243
195	2249	9228
196	2260	9214
197	2270	9197
198	2280	9180
199	2291	9166
200	2301	9150
201	2313	9138
202	2324	9125
203	2334	9109
204	2344	9093
205	2355	9080
206	2366	9066
207	2376	9048
208	2386	9031
209	2398	9022
210	2408	9007
211	2419	8991
212	2429	8977
213	2440	8964
214	2451	8950
215	2461	8933
216	2471	8918
217	2482	8904
218	2492	8888
219	2502	8872
220	2513	8858
221	2523	8843
222	2533	8825
