iter	Passed	Remaining
0	15	15105
1	29	14587
2	42	14143
3	56	13973
4	68	13672
5	80	13341
6	92	13072
7	103	12863
8	115	12735
9	127	12644
10	140	12603
11	151	12434
12	162	12352
13	174	12311
14	186	12270
15	197	12138
16	210	12181
17	224	12259
18	239	12361
19	250	12285
20	262	12225
21	273	12159
22	284	12105
23	296	12043
24	307	12005
25	319	11973
26	331	11943
27	343	11920
28	355	11904
29	367	11871
30	378	11830
31	389	11787
32	402	11805
33	416	11822
34	430	11876
35	442	11847
36	452	11779
37	464	11752
38	475	11720
39	487	11702
40	499	11683
41	509	11614
42	518	11545
43	528	11485
44	539	11457
45	550	11424
46	562	11398
47	573	11376
48	583	11315
49	597	11343
50	607	11295
51	621	11339
52	633	11323
53	644	11290
54	657	11290
55	668	11270
56	680	11265
57	692	11247
58	703	11219
59	714	11201
60	726	11181
61	738	11169
62	749	11151
63	762	11156
64	775	11157
65	786	11123
66	800	11148
67	813	11143
68	829	11188
69	840	11173
70	851	11146
71	862	11121
72	875	11116
73	887	11110
74	896	11057
75	907	11033
76	919	11017
77	930	10997
78	939	10953
79	950	10929
80	961	10904
81	972	10883
82	983	10866
83	994	10843
84	1005	10823
85	1017	10817
86	1033	10849
87	1044	10823
88	1056	10810
89	1065	10768
90	1075	10743
91	1083	10697
92	1095	10685
93	1105	10655
94	1117	10650
95	1129	10637
96	1140	10614
97	1151	10602
98	1163	10587
99	1173	10561
100	1185	10550
101	1199	10557
102	1212	10563
103	1227	10571
104	1238	10557
105	1249	10541
106	1259	10515
107	1267	10469
108	1279	10458
109	1287	10417
110	1296	10384
111	1308	10373
112	1320	10361
113	1332	10354
114	1345	10352
115	1357	10342
116	1369	10333
117	1381	10322
118	1394	10324
119	1408	10325
120	1424	10349
121	1437	10347
122	1452	10358
123	1464	10343
124	1475	10330
125	1487	10315
126	1498	10300
127	1510	10287
128	1521	10273
129	1533	10264
130	1545	10250
131	1556	10232
132	1567	10219
133	1579	10208
134	1590	10192
135	1605	10196
136	1618	10194
137	1633	10203
138	1645	10192
139	1656	10177
140	1668	10166
141	1680	10156
142	1690	10129
143	1700	10107
144	1711	10094
145	1725	10095
146	1738	10085
147	1750	10079
148	1760	10056
149	1769	10029
150	1781	10018
151	1793	10008
152	1804	9990
153	1818	9991
154	1833	9993
155	1845	9986
156	1858	9981
157	1873	9982
158	1884	9968
159	1895	9953
160	1907	9937
161	1918	9924
162	1928	9901
163	1938	9881
164	1948	9859
165	1958	9839
166	1968	9817
167	1977	9793
168	1991	9790
169	2002	9775
170	2014	9766
171	2025	9749
172	2035	9728
173	2045	9710
174	2055	9691
175	2065	9669
176	2075	9648
177	2085	9631
178	2095	9610
179	2106	9594
180	2116	9576
181	2125	9554
182	2135	9534
183	2145	9512
184	2154	9492
185	2163	9470
186	2173	9448
187	2184	9434
188	2193	9412
189	2203	9392
190	2214	9377
191	2225	9363
192	2236	9349
193	2247	9336
194	2258	9324
195	2269	9309
196	2278	9288
197	2288	9268
198	2297	9248
199	2306	9226
200	2317	9210
201	2327	9193
202	2336	9174
203	2346	9154
204	2355	9135
205	2366	9122
206	2376	9105
207	2416	9199
208	2428	9190
209	2438	9172
210	2447	9151
211	2456	9131
212	2466	9112
213	2475	9091
214	2486	9078
215	2497	9064
216	2506	9045
217	2516	9027
218	2525	9007
219	2535	8989
220	2545	8973
221	2556	8960
222	2569	8952
223	2583	8949
224	2593	8932
225	2603	8916
226	2614	8903
227	2624	8886
228	2637	8878
229	2647	8862
230	2656	8844
231	2667	8831
232	2677	8812
233	2686	8794
234	2697	8779
235	2707	8764
236	2717	8747
237	2726	8730
238	2738	8718
239	2749	8707
240	2760	8692
241	2771	8682
242	2782	8669
243	2793	8653
244	2803	8640
245	2813	8625
246	2823	8609
247	2835	8598
248	2846	8585
249	2856	8569
